series,timestamp_ms,value,month,year,label,value_gwh,price_eur_mwh
braunkohle_lignite,1704063600000,6819909.25,2024-01,2024,Lignite (Braunkohle),6819.90925,
braunkohle_lignite,1706742000000,6010242.5,2024-02,2024,Lignite (Braunkohle),6010.2425,
braunkohle_lignite,1709247600000,6461017.75,2024-03,2024,Lignite (Braunkohle),6461.01775,
braunkohle_lignite,1711922400000,4303987.5,2024-04,2024,Lignite (Braunkohle),4303.9875,
braunkohle_lignite,1714514400000,4716631.75,2024-05,2024,Lignite (Braunkohle),4716.63175,
braunkohle_lignite,1717192800000,5290899.0,2024-06,2024,Lignite (Braunkohle),5290.899,
braunkohle_lignite,1719784800000,5471088.0,2024-07,2024,Lignite (Braunkohle),5471.088,
braunkohle_lignite,1722463200000,5365300.25,2024-08,2024,Lignite (Braunkohle),5365.30025,
braunkohle_lignite,1725141600000,5177279.75,2024-09,2024,Lignite (Braunkohle),5177.27975,
braunkohle_lignite,1727733600000,7134012.25,2024-10,2024,Lignite (Braunkohle),7134.01225,
braunkohle_lignite,1730415600000,7657978.5,2024-11,2024,Lignite (Braunkohle),7657.9785,
braunkohle_lignite,1733007600000,6578007.75,2024-12,2024,Lignite (Braunkohle),6578.00775,
braunkohle_lignite,1735686000000,6826962.0,2025-01,2025,Lignite (Braunkohle),6826.962,
braunkohle_lignite,1738364400000,7092101.0,2025-02,2025,Lignite (Braunkohle),7092.101,
braunkohle_lignite,1740783600000,7277676.75,2025-03,2025,Lignite (Braunkohle),7277.67675,
braunkohle_lignite,1743458400000,5340820.5,2025-04,2025,Lignite (Braunkohle),5340.8205,
braunkohle_lignite,1746050400000,4105918.5,2025-05,2025,Lignite (Braunkohle),4105.9185,
braunkohle_lignite,1748728800000,3635517.75,2025-06,2025,Lignite (Braunkohle),3635.51775,
braunkohle_lignite,1751320800000,5754061.25,2025-07,2025,Lignite (Braunkohle),5754.06125,
braunkohle_lignite,1753999200000,4518747.75,2025-08,2025,Lignite (Braunkohle),4518.74775,
braunkohle_lignite,1756677600000,4925688.75,2025-09,2025,Lignite (Braunkohle),4925.68875,
braunkohle_lignite,1759269600000,5648721.13,2025-10,2025,Lignite (Braunkohle),5648.72113,
braunkohle_lignite,1761951600000,6595504.11,2025-11,2025,Lignite (Braunkohle),6595.504110000001,
braunkohle_lignite,1764543600000,5444634.18,2025-12,2025,Lignite (Braunkohle),5444.63418,
steinkohle_hardcoal,1704063600000,4036643.0,2024-01,2024,Hard coal (Steinkohle),4036.643,
steinkohle_hardcoal,1706742000000,2607946.25,2024-02,2024,Hard coal (Steinkohle),2607.94625,
steinkohle_hardcoal,1709247600000,2423432.25,2024-03,2024,Hard coal (Steinkohle),2423.43225,
steinkohle_hardcoal,1711922400000,1642419.25,2024-04,2024,Hard coal (Steinkohle),1642.41925,
steinkohle_hardcoal,1714514400000,1088283.25,2024-05,2024,Hard coal (Steinkohle),1088.28325,
steinkohle_hardcoal,1717192800000,1072616.5,2024-06,2024,Hard coal (Steinkohle),1072.6165,
steinkohle_hardcoal,1719784800000,1050448.0,2024-07,2024,Hard coal (Steinkohle),1050.448,
steinkohle_hardcoal,1722463200000,1696165.5,2024-08,2024,Hard coal (Steinkohle),1696.1655,
steinkohle_hardcoal,1725141600000,2185951.25,2024-09,2024,Hard coal (Steinkohle),2185.95125,
steinkohle_hardcoal,1727733600000,2750257.75,2024-10,2024,Hard coal (Steinkohle),2750.25775,
steinkohle_hardcoal,1730415600000,3685594.0,2024-11,2024,Hard coal (Steinkohle),3685.594,
steinkohle_hardcoal,1733007600000,3096561.75,2024-12,2024,Hard coal (Steinkohle),3096.56175,
steinkohle_hardcoal,1735686000000,3611040.75,2025-01,2025,Hard coal (Steinkohle),3611.04075,
steinkohle_hardcoal,1738364400000,4236837.75,2025-02,2025,Hard coal (Steinkohle),4236.83775,
steinkohle_hardcoal,1740783600000,3184093.5,2025-03,2025,Hard coal (Steinkohle),3184.0935,
steinkohle_hardcoal,1743458400000,2398520.0,2025-04,2025,Hard coal (Steinkohle),2398.52,
steinkohle_hardcoal,1746050400000,985455.25,2025-05,2025,Hard coal (Steinkohle),985.45525,
steinkohle_hardcoal,1748728800000,1201003.75,2025-06,2025,Hard coal (Steinkohle),1201.00375,
steinkohle_hardcoal,1751320800000,1909475.25,2025-07,2025,Hard coal (Steinkohle),1909.47525,
steinkohle_hardcoal,1753999200000,1301445.0,2025-08,2025,Hard coal (Steinkohle),1301.445,
steinkohle_hardcoal,1756677600000,1397569.0,2025-09,2025,Hard coal (Steinkohle),1397.569,
steinkohle_hardcoal,1759269600000,2166156.53,2025-10,2025,Hard coal (Steinkohle),2166.1565299999997,
steinkohle_hardcoal,1761951600000,3165924.61,2025-11,2025,Hard coal (Steinkohle),3165.92461,
steinkohle_hardcoal,1764543600000,2599886.52,2025-12,2025,Hard coal (Steinkohle),2599.88652,
erdgas_naturalgas,1704063600000,7171706.5,2024-01,2024,Natural gas (Erdgas),7171.7065,
erdgas_naturalgas,1706742000000,5287330.75,2024-02,2024,Natural gas (Erdgas),5287.33075,
erdgas_naturalgas,1709247600000,5301249.25,2024-03,2024,Natural gas (Erdgas),5301.24925,
erdgas_naturalgas,1711922400000,4319790.5,2024-04,2024,Natural gas (Erdgas),4319.7905,
erdgas_naturalgas,1714514400000,3873127.25,2024-05,2024,Natural gas (Erdgas),3873.12725,
erdgas_naturalgas,1717192800000,3493624.0,2024-06,2024,Natural gas (Erdgas),3493.624,
erdgas_naturalgas,1719784800000,3253777.5,2024-07,2024,Natural gas (Erdgas),3253.7775,
erdgas_naturalgas,1722463200000,3430310.25,2024-08,2024,Natural gas (Erdgas),3430.31025,
erdgas_naturalgas,1725141600000,3207378.75,2024-09,2024,Natural gas (Erdgas),3207.37875,
erdgas_naturalgas,1727733600000,3852887.75,2024-10,2024,Natural gas (Erdgas),3852.88775,
erdgas_naturalgas,1730415600000,7062067.25,2024-11,2024,Natural gas (Erdgas),7062.06725,
erdgas_naturalgas,1733007600000,6663231.5,2024-12,2024,Natural gas (Erdgas),6663.2315,
erdgas_naturalgas,1735686000000,7924274.25,2025-01,2025,Natural gas (Erdgas),7924.27425,
erdgas_naturalgas,1738364400000,7702449.0,2025-02,2025,Natural gas (Erdgas),7702.449,
erdgas_naturalgas,1740783600000,5649854.75,2025-03,2025,Natural gas (Erdgas),5649.85475,
erdgas_naturalgas,1743458400000,3692677.25,2025-04,2025,Natural gas (Erdgas),3692.67725,
erdgas_naturalgas,1746050400000,3130741.75,2025-05,2025,Natural gas (Erdgas),3130.74175,
erdgas_naturalgas,1748728800000,2394517.25,2025-06,2025,Natural gas (Erdgas),2394.51725,
erdgas_naturalgas,1751320800000,2927114.0,2025-07,2025,Natural gas (Erdgas),2927.114,
erdgas_naturalgas,1753999200000,3015974.75,2025-08,2025,Natural gas (Erdgas),3015.97475,
erdgas_naturalgas,1756677600000,3790773.75,2025-09,2025,Natural gas (Erdgas),3790.77375,
erdgas_naturalgas,1759269600000,5275413.52,2025-10,2025,Natural gas (Erdgas),5275.413519999999,
erdgas_naturalgas,1761951600000,7519788.06,2025-11,2025,Natural gas (Erdgas),7519.78806,
erdgas_naturalgas,1764543600000,7523775.97,2025-12,2025,Natural gas (Erdgas),7523.77597,
wind_onshore,1704063600000,15538623.0,2024-01,2024,Wind onshore,15538.623,
wind_onshore,1706742000000,14088422.75,2024-02,2024,Wind onshore,14088.42275,
wind_onshore,1709247600000,9347789.0,2024-03,2024,Wind onshore,9347.789,
wind_onshore,1711922400000,9674383.75,2024-04,2024,Wind onshore,9674.38375,
wind_onshore,1714514400000,6248813.75,2024-05,2024,Wind onshore,6248.81375,
wind_onshore,1717192800000,5670932.75,2024-06,2024,Wind onshore,5670.93275,
wind_onshore,1719784800000,5528038.25,2024-07,2024,Wind onshore,5528.03825,
wind_onshore,1722463200000,5184448.5,2024-08,2024,Wind onshore,5184.4485,
wind_onshore,1725141600000,8943181.25,2024-09,2024,Wind onshore,8943.18125,
wind_onshore,1727733600000,8368162.75,2024-10,2024,Wind onshore,8368.16275,
wind_onshore,1730415600000,10259467.0,2024-11,2024,Wind onshore,10259.467,
wind_onshore,1733007600000,13708154.25,2024-12,2024,Wind onshore,13708.15425,
wind_onshore,1735686000000,13201131.5,2025-01,2025,Wind onshore,13201.1315,
wind_onshore,1738364400000,7227404.0,2025-02,2025,Wind onshore,7227.404,
wind_onshore,1740783600000,6491692.25,2025-03,2025,Wind onshore,6491.69225,
wind_onshore,1743458400000,5843161.25,2025-04,2025,Wind onshore,5843.16125,
wind_onshore,1746050400000,7858113.25,2025-05,2025,Wind onshore,7858.11325,
wind_onshore,1748728800000,8676526.75,2025-06,2025,Wind onshore,8676.52675,
wind_onshore,1751320800000,6167800.71,2025-07,2025,Wind onshore,6167.8007099999995,
wind_onshore,1753999200000,5459159.51,2025-08,2025,Wind onshore,5459.1595099999995,
wind_onshore,1756677600000,9721142.41,2025-09,2025,Wind onshore,9721.14241,
wind_onshore,1759269600000,13695534.4,2025-10,2025,Wind onshore,13695.5344,
wind_onshore,1761951600000,9952192.85,2025-11,2025,Wind onshore,9952.19285,
wind_onshore,1764543600000,12474033.51,2025-12,2025,Wind onshore,12474.03351,
wind_offshore,1704063600000,3036663.75,2024-01,2024,Wind offshore,3036.66375,
wind_offshore,1706742000000,2780407.5,2024-02,2024,Wind offshore,2780.4075,
wind_offshore,1709247600000,2736839.0,2024-03,2024,Wind offshore,2736.839,
wind_offshore,1711922400000,2186038.25,2024-04,2024,Wind offshore,2186.03825,
wind_offshore,1714514400000,1528316.0,2024-05,2024,Wind offshore,1528.316,
wind_offshore,1717192800000,1552964.75,2024-06,2024,Wind offshore,1552.96475,
wind_offshore,1719784800000,1636014.25,2024-07,2024,Wind offshore,1636.01425,
wind_offshore,1722463200000,1426232.0,2024-08,2024,Wind offshore,1426.232,
wind_offshore,1725141600000,1822075.0,2024-09,2024,Wind offshore,1822.075,
wind_offshore,1727733600000,2261530.25,2024-10,2024,Wind offshore,2261.53025,
wind_offshore,1730415600000,2233532.75,2024-11,2024,Wind offshore,2233.53275,
wind_offshore,1733007600000,2466866.25,2024-12,2024,Wind offshore,2466.86625,
wind_offshore,1735686000000,2539817.75,2025-01,2025,Wind offshore,2539.81775,
wind_offshore,1738364400000,2260150.5,2025-02,2025,Wind offshore,2260.1505,
wind_offshore,1740783600000,1889088.0,2025-03,2025,Wind offshore,1889.088,
wind_offshore,1743458400000,1080769.75,2025-04,2025,Wind offshore,1080.76975,
wind_offshore,1746050400000,1861451.25,2025-05,2025,Wind offshore,1861.45125,
wind_offshore,1748728800000,1848906.25,2025-06,2025,Wind offshore,1848.90625,
wind_offshore,1751320800000,1561247.83,2025-07,2025,Wind offshore,1561.24783,
wind_offshore,1753999200000,1699077.95,2025-08,2025,Wind offshore,1699.0779499999999,
wind_offshore,1756677600000,2410541.28,2025-09,2025,Wind offshore,2410.54128,
wind_offshore,1759269600000,2901834.16,2025-10,2025,Wind offshore,2901.8341600000003,
