month,Hard coal (Steinkohle),Lignite (Braunkohle),Natural gas (Erdgas),Solar (Photovoltaik),Wind offshore,Wind onshore,total_tracked_gwh,renewable_gwh,fossil_gwh,renewable_share_pct,year
2024-01,4036.643,6819.90925,7171.7065,1433.804,3036.66375,15538.623,38037.3495,20009.09075,18028.25875,52.6,2024
2024-02,2607.94625,6010.2425,5287.33075,2236.90575,2780.4075,14088.42275,33011.2555,19105.735999999997,13905.519500000002,57.88,2024
2024-03,2423.43225,6461.01775,5301.24925,4876.75725,2736.839,9347.789,31147.0845,16961.38525,14185.699250000001,54.46,2024
2024-04,1642.41925,4303.9875,4319.7905,6624.39125,2186.03825,9674.38375,28751.010500000004,18484.81325,10266.197250000001,64.29,2024
2024-05,1088.28325,4716.63175,3873.12725,8603.73025,1528.316,6248.81375,26058.90225,16380.86,9678.042249999999,62.86,2024
2024-06,1072.6165,5290.899,3493.624,8835.6245,1552.96475,5670.93275,25916.661500000002,16059.522,9857.139500000001,61.97,2024
2024-07,1050.448,5471.088,3253.7775,9306.81775,1636.01425,5528.03825,26246.183749999997,16470.87025,9775.3135,62.76,2024
2024-08,1696.1655,5365.30025,3430.31025,8941.06225,1426.232,5184.4485,26043.518750000003,15551.742750000001,10491.776,59.71,2024
2024-09,2185.95125,5177.27975,3207.37875,6161.3175,1822.075,8943.18125,27497.1835,16926.57375,10570.60975,61.56,2024
2024-10,2750.25775,7134.01225,3852.88775,3561.5705,2261.53025,8368.16275,27928.42125,14191.2635,13737.15775,50.81,2024
2024-11,3685.594,7657.9785,7062.06725,1529.68625,2233.53275,10259.467,32428.32575,14022.686000000002,18405.639750000002,43.24,2024
2024-12,3096.56175,6578.00775,6663.2315,1036.76575,2466.86625,13708.15425,33549.58725,17211.786249999997,16337.801,51.3,2024
2025-01,3611.04075,6826.962,7924.27425,1627.46475,2539.81775,13201.1315,35730.691000000006,17368.414,18362.277000000002,48.61,2025
2025-02,4236.83775,7092.101,7702.449,3018.648,2260.1505,7227.404,31537.59025,12506.2025,19031.387749999998,39.65,2025
2025-03,3184.0935,7277.67675,5649.85475,6906.3104,1889.088,6491.69225,31398.715650000002,15287.09065,16111.625,48.69,2025
2025-04,2398.52,5340.8205,3692.67725,8951.0245,1080.76975,5843.16125,27306.97325,15874.9555,11432.01775,58.14,2025
2025-05,985.45525,4105.9185,3130.74175,10217.1385,1861.45125,7858.11325,28158.8185,19936.703,8222.1155,70.8,2025
2025-06,1201.00375,3635.51775,2394.51725,10536.11075,1848.90625,8676.52675,28292.5825,21061.54375,7231.03875,74.44,2025
2025-07,1909.47525,5754.06125,2927.114,9056.373019999999,1561.24783,6167.8007099999995,27376.07206,16785.42156,10590.6505,61.31,2025
2025-08,1301.445,4518.74775,3015.97475,9672.27848,1699.0779499999999,5459.1595099999995,25666.68344,16830.51594,8836.1675,65.57,2025
2025-09,1397.569,4925.68875,3790.77375,6435.89539,2410.54128,9721.14241,28681.610580000004,18567.57908,10114.031500000001,64.74,2025
2025-10,2166.1565299999997,5648.72113,5275.413519999999,3642.6224500000003,2901.8341600000003,13695.5344,33330.28219,20239.99101,13090.29118,60.73,2025
2025-11,3165.92461,6595.504110000001,7519.78806,2210.9001000000003,2716.30026,9952.19285,32160.609989999997,14879.39321,17281.21678,46.27,2025
2025-12,2599.88652,5444.63418,7523.77597,1509.06385,3425.38369,12474.03351,32976.77772,17408.48105,15568.29667,52.79,2025
