month,avg_price_eur_mwh,total_load_gwh,renewable_share_pct
2024-01,76.57,44095.49825,52.6
2024-02,61.34,39956.911,57.88
2024-03,64.7,40192.60175,54.46
2024-04,62.36,37730.9555,64.29
2024-05,67.21,35983.51275,62.86
2024-06,72.89,35704.64125,61.97
2024-07,67.7,36973.71275,62.76
2024-08,82.05,36921.844,59.71
2024-09,78.31,36646.1605,61.56
2024-10,86.1,38537.384,50.81
2024-11,113.91,41376.52,43.24
2024-12,108.32,41383.116,51.3
2025-01,114.14,44170.68975,48.61
2025-02,128.52,40067.31713,39.65
2025-03,94.73,40563.5947,48.69
2025-04,77.94,36341.72936,58.14
2025-05,67.34,36264.72779,70.8
2025-06,63.99,35278.34156,74.44
2025-07,87.8,37035.77936,61.31
2025-08,76.99,35373.436259999995,65.57
2025-09,83.51,36471.74888,64.74
2025-10,84.4,40475.52635,60.73
2025-11,101.88,41470.3123,46.27
2025-12,93.47,42304.47973,52.79
